Organization ,Address,Days,Hours,Notes,Call,Website
Calvary Episcopal Church,"532 Center St, Santa Cruz, CA 95060",Monday,6:00 PM,The Red Church meeting hall,(831) 423-8787,http://www.episcopalchurch.org
Elm Street Mission,"117 Elm St, Santa Cruz, CA 95060",Wenesday,7:00 AM,Must be there by 7:15am,(831) 420-0543,http://www.elmstreetmission.org/
Elm Street Mission,"117 Elm St, Santa Cruz, CA 95060","Friday, Saturday, Sunday",4:30 PM,Must be there by 4:45pm,(831) 420-0543,http://www.elmstreetmission.org/
Elm Street Mission,"117 Elm St, Santa Cruz, CA 95060",Sunday,10:30 AM,Must be there by 11am,(831) 420-0543,http://www.elmstreetmission.org/
Homeless Garden Project,"Schaffer Rd. at Delaware Ave. Santa Cruz, CA 95060 ",Tuesday-Friday,10:00 AM,"Work for lunch program. In the soil of our urban farm and garden, people find the tools they need to build a home in the world",(831) 426.3609,http://www.homelessgardenproject.org/
New Life Center,"137 Dakota St, Santa Cruz, CA 95067",Sunday,1:00 PM,Meal distributed in San Lorenzo Park,(831) 427-1007,http://www.newlifesc.org/
Pajaro Valley Loaves and Fishes,"150 2nd St, Watsonville, CA 95076",Monday-Friday,12:00 PM,"Community supported food pantry and kitchen to feed, serve, and support the hungry people of our community, including working poor families, migrant farm workers, and elderly, disabled, and homeless individuals.",(831) 722-4144,http://pvloavesandfishes.org/
Saint Francis Soup Kitchen,"205 Mora St, Santa Cruz, CA 95060",Monday-Friday,12:00 PM,Daily lunch is served with special care to serve our guests with kindness. Clothing available.,(831) 459-6712,http://www.stfrancissoupkitchen.org/
Santa Cruz Revival,"137 Dakota St, Santa Cruz, CA 95067",Satuday,7:30 AM,Exept 1st Saturday of the month. Breakfast served in San Lorenzo Park,(831) 465-0616,http://www.santacruzrevival.com/
Second Harvest Food Bank Hotline,,Monday- Friday,8:30am - 4:30 PM,Connect with over 200 food distribution centers in Santa Cruz County for immediate and/or long-term food assistance resources ,(831) 662-0991,https://www.shfb.org/foodconnection
